90,91,92,93,94,95,96;64,65,66,67,68,69,70,71,72,73,74,75,76,77,78
98,99,100,101,102,103,104;70,71,72,73,74,75,76,77,78,79,80,81,82,83
89,90,91,92,93,94,95,96,97,98,99,100,101,102,103;53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
20,25,36,45,89;25,36,77,88,98
1,2,3,4;3,4,5,6
97,98,99,100,101,102,103,104;65,66,67,68,69,70,71,72
93,94,95,96,97;69,70,71,72,73
79,80,81,82,83,84,85;75,76,77,78,79,80,81,82,83,84,85,86
97,98,99,100,101,102,103,104,105,106,107,108,109,110,111;58,59,60,61,62,63,64,65,66,67,68,69,70
85,86,87,88,89,90,91,92;51,52,53,54,55,56,57,58,59,60,61,62
93,94,95,96,97,98,99,100,101,102,103;72,73,74,75,76,77,78
9,10,11;33,34,35
61,62,63,64,65,66,67,68,69,70;81,82,83,84,85
93,94,95,96,97,98,99,100,101,102,103;51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
99,100,101,102,103,104,105,106;55,56,57,58,59,60,61,62,63,64,65,66
76,77,78,79,80,81,82,83,84,85,86,87;77,78,79,80,81,82,83,84,85,86
60,61,62,63,64,65,66,67,68;59,60,61,62,63,64,65,66,67
63,64,65,66,67,68,69,70;95,96,97,98,99,100,101,102,103,104
62,63,64,65,66,67,68,69,70;54,55,56,57,58,59,60,61,62,63,64
9,10,11;11,12,13
